Release_datetime_obj,Title,Developer(s),Publisher(s),Series,Platform(s),Genre(s),Mode(s),Designer(s),Engine,Arcade system,Programmer(s),Composer(s),Director(s),Producer(s),Artist(s),Writer(s)
1992-10-08,Mortal Kombat,Midway,"['Acclaim Entertainment', 'Virgin Interactive Entertainment']",Mortal Kombat,"['Arcade', 'Amiga', 'Game Boy', 'MS-DOS', 'Sega CD', 'Game Gear', 'Genesis', 'Master System', 'SNES', 'TV game', 'LCD game']",Fighting,"['Single-player', 'multiplayer']","['Ed Boon', 'John Tobias']",Engine Not Available,Midway Y Unit (Revision Prototype 4.0–Revision 4.0) Midway T Unit (Revision 4.0T–Revision 5.0T),['Ed Boon'],Dan Forden,Director(s) Not Available,Producer(s) Not Available,"['John Tobias', 'John Vogel']",Writer(s) Not Available
1992-11-21,Sonic the Hedgehog 2,Sega Technical Institute,Sega,Sonic the Hedgehog,"['Arcade', 'Android', 'iOS', 'Windows Phone', 'Microsoft Windows', 'Apple TV', 'Nintendo 3DS', 'Nintendo Switch']",Platform,"['Single-player', 'multiplayer']",['Hirokazu Yasuhara'],Engine Not Available,Arcade system Not Available,['Yuji Naka'],Masato Nakamura,['Masaharu Yoshii'],Shinobu Toyoda,"['Yasushi Yamaguchi', 'Rieko Kodama']",Writer(s) Not Available
1992-08-27,Super Mario Kart,Nintendo EAD,Nintendo,Mario Kart,Super Nintendo Entertainment System,Kart racing,"['Single-player', 'multiplayer']",Designer(s) Not Available,Engine Not Available,Arcade system Not Available,['Masato Kimura'],['Soyo Oka'],"['Tadashi Sugiyama', 'Hideki Konno']",Shigeru Miyamoto,"['Yōichi Kotabe', 'Yoshiaki Koizumi']",Writer(s) Not Available
1992-03-27,Virtua Racing,Sega AM R&D #2,"['Sega', 'Time Warner Interactive']",Series Not Available,"['Arcade', 'Sega Genesis', 'Sega 32X', 'Sega Saturn']",Racing,"['Single-player', 'multiplayer']",['Yu Suzuki'],Engine Not Available,Sega Model 1,Programmer(s) Not Available,"['Takenobu Mitsuyoshi', 'Naofumi Hataya']",Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
1992-05-05,Wolfenstein 3D,id Software,"['Apogee Software', 'FormGen']",Wolfenstein,"['DOS', 'Arcade', 'VR', 'PC-98', 'SNES', 'Jaguar', 'Classic Mac OS', 'Acorn Archimedes', '3DO', 'Apple IIGS', 'Game Boy Advance', 'Xbox', 'Linux', 'iOS', 'Xbox 360', 'PlayStation 3', 'Android']",First-person shooter,Single-player,['John Romero'],Engine Not Available,Arcade system Not Available,['John Carmack'],Robert Prince (DOS) Brian Luzietti (Macintosh) Todd Dennis (3DO),Tom Hall,Producer(s) Not Available,Adrian Carmack,Writer(s) Not Available
1993-06-25,Day of the Tentacle,LucasArts,['LucasArts'],Series Not Available,"['MS-DOS', 'Mac OS', 'Microsoft Windows', 'OS X', 'PlayStation 4', 'PlayStation Vita', 'iOS', 'Linux', 'Xbox One']",Graphic adventure,Single-player,"['Tim Schafer', 'Dave Grossman']",SCUMM,Arcade system Not Available,Programmer(s) Not Available,"['Clint Bajakian', 'Peter McConnell', 'Michael Land']","['Dave Grossman', 'Tim Schafer']","['Dave Grossman', 'Tim Schafer']",Peter Chan,"['Ron Gilbert', 'Gary Winnick']"
1994-03,Daytona USA,Sega AM2,Sega,['Daytona USA'],"['Arcade', 'Sega Saturn', 'Windows', 'PlayStation 3', 'PSN', 'Xbox 360', 'XBLA']",Racing,"['Single-player', 'multiplayer']","['Makoto Osaki', 'Yukinobu Arikawa']",Engine Not Available,Sega Model 2,"['Daichi Katagiri', 'Koki Koiwa', 'Hideomi Miyauchi']",Takenobu Mitsuyoshi,Toshihiro Nagoshi,Toshihiro Nagoshi Yu Suzuki,Artist(s) Not Available,Writer(s) Not Available
1993-12-10,Doom,id Software,['id Software'],Doom,"['Sega 32X', 'Atari Jaguar', 'Mac OS', 'Amiga OS', 'PC-98', 'SNES', 'PlayStation', '3DO', 'Windows 95', 'Sega Saturn', 'Acorn Archimedes', 'Game Boy Advance', 'Xbox 360', 'iOS', 'PlayStation 3', 'Android', 'Nintendo Switch', 'PlayStation 4', 'Xbox One']",First-person shooter,"['Single-player', 'multiplayer']","['John Romero', 'Tom Hall', 'Sandy Petersen']",id Tech 1,Arcade system Not Available,"['John Carmack', 'John Romero', 'Dave Taylor']",Robert Prince,Director(s) Not Available,Producer(s) Not Available,"['Adrian Carmack', 'Kevin Cloud']",Writer(s) Not Available
1993-06-06,The Legend of Zelda: Link's Awakening,Nintendo EAD,Nintendo,The Legend of Zelda,"['Game Boy', 'Game Boy Color']",Action-adventure,Single-player,['Yasuhisa Yamamura'],Engine Not Available,Arcade system Not Available,"['Takamitsu Kuzuhara', 'Kazuaki Morita']",['Kazumi Totaka'],Takashi Tezuka,Shigeru Miyamoto,"['Yoichi Kotabe', 'Shigefumi Hino']","['Yoshiaki Koizumi', 'Kensuke Tanabe']"
1993-06-25,Mortal Kombat II,"['Midway', 'Probe Entertainment', 'Sculptured Software', 'Sony Online Entertainment', 'Digital Eclipse', 'Backbone Entertainment']","['Acclaim Entertainment', 'home versions']",Mortal Kombat,"['Arcade', 'Game Gear', 'Genesis/Mega Drive', 'SNES', 'Game Boy', '32X', 'Amiga', 'Master System', 'MS-DOS', 'Saturn', 'PlayStation', 'PlayStation Network']",Fighting game,"['Single-player', 'multiplayer']","['Ed Boon', 'John Tobias']",Engine Not Available,Midway T Unit,['Ed Boon'],"Dan Forden Matt Furniss (Sega Genesis, Game Gear, Master System)",Director(s) Not Available,"['Ken Fedesna', 'Neil Nicastro']","['John Tobias', 'Tony Goskie', 'John Vogel']",Writer(s) Not Available
1993-09-24,Myst,"['Sunsoft', 'Alfa System', 'Microcabin']","['Acclaim Entertainment', 'SoftBank', 'Psygnosis', 'SCEA', 'Panasonic', 'Red Orb Entertainment', 'Atari Corporation', 'Philips Media', 'Sega', 'Midway', 'Empire Interactive', 'Cyan', 'Maximum Family Games']",Myst,"['Mac OS', 'Saturn', 'PlayStation', '3DO', 'Microsoft Windows', 'Atari Jaguar CD', 'CD-i', 'AmigaOS', 'Pocket PC', 'PlayStation Portable', 'Nintendo DS', 'iOS', 'Nintendo 3DS', 'Android', 'Oculus Quest', 'Oculus Quest 2', 'Nintendo Switch']","['Graphic adventure', 'puzzle']",Single-player,"['Rand Miller', 'Robyn Miller']",Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,['Robyn Miller'],Director(s) Not Available,['Laurie Strand'],Robyn Miller Chuck Carter,Writer(s) Not Available
1994-03-04,NBA Jam,"['Midway', 'Iguana']","['Midway', 'Acclaim Entertainment']",NBA Jam,"['Arcade', 'Super NES', 'Sega Genesis', 'Game Gear', 'Game Boy', 'Sega CD', 'Sega Saturn']","['Sports', 'basketball']",['Up to 4 players simultaneously'],"['Mark Turmell', 'Shawn Liptak', 'Jamie Rivett', 'Sal Divita', 'John Carlton', 'Tony Goskie']",Engine Not Available,Midway T Unit,Programmer(s) Not Available,"['Jon Hey', '(Arcade)', 'Rick Fox', '(Genesis/SNES)']",Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
1993-12-17,Phantasy Star IV,Sega,['Sega'],Phantasy Star,Sega Genesis,Role-playing video game,Single-player,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,"['Izuho Numata', 'Masaki Nakagaki']",['Rieko Kodama'],['Jerry Markota'],['Toru Yoshida'],['Akinori Nishiyama']
1993-11,Sam & Max Hit the Road,LucasArts,LucasArts,Sam & Max,"['MS-DOS', 'Mac OS', 'Microsoft Windows']",Graphic adventure,Single-player,['Steve Purcell'],"['SCUMM', 'iMUSE']",Arcade system Not Available,"['Sean Clark', 'Michael Stemmle', 'Livia Macklin', 'Jonathan Ackley']","['Clint Bajakian', 'Peter McConnell', 'Michael Z. Land']","['Sean Clark', 'Mike Stemmle']","['Sean Clark', 'Mike Stemmle']",Artist(s) Not Available,Writer(s) Not Available
1993-08-06,Secret of Mana,Square,['Square'],Mana,"['Super NES', 'FOMA 903i/703i', 'iOS', 'Android', 'Microsoft Windows', 'PlayStation 4', 'PlayStation Vita']",Action role-playing,"['Single-player', 'multiplayer']","['Koichi Ishii', 'Hiromichi Tanaka']",Engine Not Available,Arcade system Not Available,Nasir Gebelli,Hiroki Kikuta,Koichi Ishii,Hiromichi Tanaka,['Shinichi Kameoka'],['Hiromichi Tanaka']
1993,SimCity 2000,"['HAL Laboratory', 'Genki', 'Full Fat']","['Electronic Arts', 'Black Pearl Software', 'THQ', 'Sega', 'Artdink', 'Imagineer', 'Destination Software']",SimCity,"['Mac OS', 'MS-DOS', 'Amiga', 'SNES', 'Sega Saturn', 'PlayStation', 'Nintendo 64', 'Game Boy Advance', 'Windows Mobile']",City-building,Single-player,"['Will Wright', 'Fred Haslam']",Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,"['Sue Kasper', 'Brian Conrad', 'Justin McCormick']",Director(s) Not Available,Producer(s) Not Available,"['Jenny Martin', 'Suzie Greene', 'Kelli Pearson', 'Eben Sorkin']",Writer(s) Not Available
1993-02-21,Star Fox,"['Nintendo EAD', 'Argonaut Software']",Nintendo,Star Fox,SNES,"['Rail shooter', ""shoot 'em up""]",Single-player,Shigeru Miyamoto,Engine Not Available,Arcade system Not Available,"['Dylan Cuthbert', 'Giles Goddard']",['Hajime Hirasawa'],Katsuya Eguchi,Shigeru Miyamoto,Takaya Imamura,Writer(s) Not Available
1993-06-06,Syndicate,Bullfrog Productions,"['Mindscape', 'Ocean Software']",Syndicate,"['MS-DOS', 'Amiga', 'Amiga CD32', 'Mac', 'Sega Genesis', 'SNES', 'FM Towns', 'NEC PC-9801', 'Atari Jaguar', '3DO', 'Sega-CD', 'Acorn Archimedes']",Real-time tactics,Single-player,['Sean Cooper'],Engine Not Available,Arcade system Not Available,"['Sean Cooper', 'Phillip Jones']",Russell Shaw,Director(s) Not Available,Peter Molyneux (Bullfrog) Kevin Buckner (EA),"['Chris Hill', 'Paul McLaughlin']",Writer(s) Not Available
1994-11-18,Donkey Kong Country,Rare,Nintendo,Donkey Kong,"['Super Nintendo Entertainment System', 'Game Boy Color', 'Game Boy Advance']",Platform,"['Single-player', 'multiplayer']",Gregg Mayles,Engine Not Available,Arcade system Not Available,['Chris Sutherland'],"['David Wise', 'Eveline Fischer', 'Robin Beanland']","['Tim Stamper', 'Chris Stamper']",Producer(s) Not Available,['Steve Mayles'],['Daniel Owsen']
1994-10-10,Doom II,id Software,GT Interactive Software,Doom,"['Mac OS', 'PC-98', 'Game Boy Advance', 'Tapwave Zodiac', 'Xbox 360', 'PlayStation 3', 'PlayStation 4', 'Nintendo Switch', 'Xbox One', 'Sega Saturn', 'PlayStation', 'Android', 'iOS']",First-person shooter,"['Single-player', 'multiplayer']","['Sandy Petersen', 'Shawn Green', 'American McGee']",id Tech 1,Arcade system Not Available,"['John Carmack', 'John Romero', 'Dave Taylor']",Robert Prince,Director(s) Not Available,Producer(s) Not Available,"['Adrian Carmack', 'Kevin Cloud']",Writer(s) Not Available
1994-08-27,EarthBound,"['Ape', 'HAL Laboratory']",Nintendo,Mother,"['Super NES', 'Game Boy Advance']",Role-playing,Single-player,['Akihiko Miura'],Engine Not Available,Arcade system Not Available,"['Satoru Iwata', 'Kouji Malta']","['Keiichi Suzuki', 'Hirokazu Tanaka']",Shigesato Itoi,"['Satoru Iwata', 'Tsunekazu Ishihara']",['Kouichi Ooyama'],['Shigesato Itoi']
1994-04-02,Final Fantasy VI,Square,"['Square Electronic Arts', 'Sony Computer Entertainment', 'Square Enix', 'Nintendo']",Final Fantasy,"['PlayStation', 'Game Boy Advance', 'Android', 'iOS', 'Microsoft Windows']",Role-playing,Single-player,['Hiroyuki Ito'],Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,Nobuo Uematsu,"['Yoshinori Kitase', 'Hiroyuki Ito']",Hironobu Sakaguchi,"['Tetsuya Takahashi', 'Kazuko Shibuya', 'Yoshitaka Amano', 'Tetsuya Nomura']","['Yoshinori Kitase', 'Hironobu Sakaguchi']"
1994-10-11,Sega Rally Championship,Sega AM3,Sega,['Sega Rally'],"['Arcade', 'Sega Saturn', 'Windows', 'N-Gage', 'Game Boy Advance']",Racing game,"['Single-player', 'multiplayer']",Designer(s) Not Available,Engine Not Available,Sega Model 2,['Sohei Yamamoto'],Takenobu Mitsuyoshi,['Kenji Sasaki'],Tetsuya Mizuguchi,['Kenji Sasaki'],Writer(s) Not Available
1994,Sensible World of Soccer,Sensible Software,"['Renegade', 'GT Interactive', 'Codemasters', 'Microsoft']",Series Not Available,"['Amiga', 'MS-DOS', 'Xbox 360']","['Sports', 'sports management']","['Single-player', 'multiplayer']","['Jon Hare', 'Sensible Software']",Engine Not Available,Arcade system Not Available,['Chris Chapman'],"['Jon Hare', 'Richard Joseph']",Director(s) Not Available,Producer(s) Not Available,Jon Hare Stoo Cambridge,Writer(s) Not Available
1994-07,Star Wars: TIE Fighter,Totally Games,LucasArts,['Star Wars: X-Wing'],"['DOS', 'Macintosh', 'Microsoft Windows']",Space simulation,Single-player,Lawrence Holland Edward Kilham,Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,Peter McConnell,Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
1994-03-19,Super Metroid,"['Nintendo R&D1', 'Intelligent Systems']",Nintendo,Metroid,Super Nintendo Entertainment System,Action-adventure,Single-player,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,['Kenji Imai'],['Kenji Yamamoto'],Yoshio Sakamoto,Makoto Kano,['Hiroyuki Kimura'],Writer(s) Not Available
1994-03,X-COM: UFO Defense,"['Mythos Games', 'MicroProse']",['MicroProse'],X-COM,"['MS-DOS', 'Amiga', 'CD32', 'PlayStation', 'Windows']","['Strategy', 'turn-based tactics']",Single-player,Julian Gollop Nick Gollop,Engine Not Available,Arcade system Not Available,"['Julian Gollop', 'Nick Gollop']",John Broomhall,Director(s) Not Available,['Tim Roberts'],"['Julian Gollop', 'John Reitze', 'Martin Smillie']",Writer(s) Not Available
1995-03-11,Chrono Trigger,Square,['Square Enix'],Chrono,"['Super NES', 'PlayStation', 'Nintendo DS', 'i-mode', 'iOS', 'Android', 'Microsoft Windows']",Role-playing,"['Single-player', 'multiplayer']",Hironobu Sakaguchi,Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,"['Yasunori Mitsuda', 'Nobuo Uematsu']","['Takashi Tokita', 'Yoshinori Kitase', 'Akihiko Matsui']",Kazuhiko Aoki,"['Akira Toriyama', 'Tetsuya Takahashi']","['Masato Kato', 'Yuji Horii']"
1995-09-26,Command & Conquer,Westwood Studios,"['Virgin Interactive Entertainment', 'Nintendo', 'Electronic Arts']",Command & Conquer,"['DOS', 'Microsoft Windows', 'Mac OS', 'Sega Saturn', 'PlayStation', 'Nintendo 64']",Real-time strategy,"['Single-player', 'multiplayer']",['Erik Yeo'],Engine Not Available,Arcade system Not Available,"['Joseph Bostic', 'William Randolph']",Frank Klepacki,Director(s) Not Available,"['Brett Sperry', 'Edward Del Castillo']",Artist(s) Not Available,Eydie Laramore Ron Smith Joseph D. Kucan
1995-07-24,MechWarrior 2: 31st Century Combat,Activision,['Activision'],MechWarrior,"['DOS', 'Microsoft Windows', 'Mac OS', 'PlayStation', 'Sega Saturn']",Vehicle simulation game,"['Single-player', 'multiplayer']","['Sean Vesce', 'Zachary Norman']",Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,"['Gregory Alper', 'Jeehun Hwang']",['John Spinale'],Josh Resnick,Artist(s) Not Available,['Zachary Norman']
1995-12-09,Warcraft II: Tides of Darkness,Blizzard Entertainment,"['Davidson & Associates', 'Electronic Arts Victor']",Warcraft,"['MS-DOS', 'Classic Mac OS', 'Saturn', 'PlayStation', 'Microsoft Windows']",Real-time strategy,"['Single-player', 'multiplayer']",Ron Millar,Engine Not Available,Arcade system Not Available,"['Bob Fitch', 'Jesse McReynolds', 'Michael Morhaime']",['Glenn Stafford'],Director(s) Not Available,"['Michael Morhaime', 'Patrick Wyatt']",Artist(s) Not Available,Chris Metzen
1995-09-29,Wipeout,Psygnosis,['SoftBank'],Wipeout,"['PlayStation', 'MS-DOS', 'Microsoft Windows', 'Sega Saturn']",Racing,"['Single-player', 'multiplayer']",['Nick Burcome'],Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,Tim Wright,['John White'],['Dominic Mallinson'],Artist(s) Not Available,Writer(s) Not Available
1995-08-05,Super Mario World 2: Yoshi's Island,Nintendo EAD,Nintendo,Super Mario Yoshi,"['Super NES', 'Game Boy Advance']",Platform,Single-player,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,Koji Kondo,"['Takashi Tezuka', 'Shigefumi Hino', 'Hideki Konno']",Shigeru Miyamoto,"['Yoshiaki Koizumi', 'Hisashi Nogami']",Writer(s) Not Available
1996-02-29,Civilization II,MicroProse,['Activision'],Civilization,"['Windows', 'Mac OS', 'PlayStation']",Turn-based strategy,"['Single player', 'multiplayer']",['Brian Reynolds'],Engine Not Available,Arcade system Not Available,"['Brian Reynolds', 'Jason S. Coleman', 'Chris Taormino']","['Jeff Briggs', 'Kevin Manthei']",Director(s) Not Available,Jeff Briggs,['Michael O. Haire'],Dave Ellis
1996-11-22,Command & Conquer: Red Alert,Westwood Studios,Virgin Interactive Entertainment,['Comm& Conquer: Red Alert'],"['MS-DOS', 'Microsoft Windows', 'PlayStation']",Real-time strategy,"['Single-player', 'multiplayer']","['Adam P. Isgreen', 'Michael Lightner', 'Erik Yeo']",Engine Not Available,Arcade system Not Available,"['Joseph Bostic', 'Barry Green', 'Steve Tall']",Frank Klepacki,Director(s) Not Available,['Edward Alexander Del Castillo'],"['Christopher D. Demers', 'Matthew Hansel', 'Joseph B. Hewitt IV']",['Ron Smith']
1996-01-29,Duke Nukem 3D,"['Gearbox Software', 'Nerve Software']","['MacSoft', 'GT Interactive Software', 'Sega', 'TecToy', 'Pico Interactive', 'Microsoft Studios', 'Devolver Digital', 'Gearbox Publishing']",Duke Nukem,"['Android', 'Game.com', 'iOS', 'Linux', 'Classic Mac OS', 'Microsoft Windows', 'Nintendo 64', 'macOS', 'PlayStation', 'PlayStation 3', 'PlayStation Vita', 'Mega Drive/Genesis', 'Sega Saturn', 'Xbox 360', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']",First-person shooter,"['Single-player', 'multiplayer']",['Richard Gray'],Build,Arcade system Not Available,Todd Replogle,"['Lee Jackson', 'Robert Prince']",Director(s) Not Available,['George Broussard'],"['Stephen Hornback', 'Dirk Jones', 'James Storey']",Writer(s) Not Available
1996-07-05,NiGHTS into dreams...,Sonic Team,Sega,NiGHTS,"['Sega Saturn', 'PlayStation 2', 'Microsoft Windows', 'PlayStation 3', 'Xbox 360']",Action,"['Single-player', 'multiplayer']",Takashi Iizuka,Engine Not Available,Arcade system Not Available,['Yuji Naka'],"['Naofumi Hataya', 'Tomoko Sasaki', 'Fumie Kumatani']",Naoto Ohshima,Yuji Naka,['Kazuyuki Hoshino'],Writer(s) Not Available
1996-12-06,PaRappa the Rapper,"['NanaOn-Sha', 'epics']",Sony Computer Entertainment,Series Not Available,"['PlayStation', 'PlayStation Portable', 'PlayStation 4']",Rhythm,Single-player,['Masaya Matsuura'],Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,"['Masaya Matsuura', 'Yoshihisa Suzuki']",Director(s) Not Available,Masaya Matsuura,['Rodney Greenblat'],['Gabin Itou']
1996-06-22,Quake,id Software,GT Interactive,Quake,"['MS-DOS', 'AmigaOS', 'Classic Mac OS', 'RISC OS', 'Sega Saturn', 'Nintendo 64', 'Linux', 'Microsoft Windows']",First-person shooter,"['Single-player', 'multiplayer']","['John Romero', 'American McGee', 'Sandy Petersen', 'Tim Willits']",Quake engine,Arcade system Not Available,"['John Carmack', 'Michael Abrash']",['Aubrey Hodges'],Director(s) Not Available,Producer(s) Not Available,"['Adrian Carmack', 'Kevin Cloud', 'Paul Steed']",Writer(s) Not Available
1996-03-22,Resident Evil,Capcom,"['Virgin Interactive', 'Sega', 'Nintendo Australia']",Resident Evil,"['PlayStation', 'Windows', 'Sega Saturn', 'Nintendo DS']",Survival horror,Single-player,"['Takahiro Arimitsu', 'Isao Ōishi']",Engine Not Available,Arcade system Not Available,['Yasuhiro Anpo'],"['Makoto Tomozawa', 'Koichi Hiroki', 'Masami Ueda']",Shinji Mikami,['Tokuro Fujiwara'],Artist(s) Not Available,"['Kenichi Iwao', 'Yasuyuki Saga']"
1996-06-23,Super Mario 64,Nintendo EAD,Nintendo,Super Mario,"['Nintendo 64', 'iQue Player']",Platform,Single-player,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,"['Yasunari Nishida', 'Yoshinori Tanimoto']",Koji Kondo,Shigeru Miyamoto,['Shigeru Miyamoto'],Yoshiaki Koizumi Satoru Takizawa Masanao Arimoto,Writer(s) Not Available
1996-10-25,Tomb Raider,Core Design,Eidos Interactive,Tomb Raider,"['Sega Saturn', 'MS-DOS', 'PlayStation', 'Mac OS', 'N-Gage', 'Pocket PC', 'iOS', 'Android']",Action-adventure,Single-player,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,['Paul Douglas'],Nathan McCree,Director(s) Not Available,Producer(s) Not Available,Toby Gard,['Vicky Arnold']
1996-09-27,Wave Race 64,Nintendo EAD,Nintendo,Wave Race,"['Nintendo 64', 'iQue Player']",Racing,"['Single-player', 'multiplayer']",Designer(s) Not Available,Engine Not Available,Arcade system Not Available,['Keizo Ohta'],Kazumi Totaka,"['Katsuya Eguchi', 'Shinya Takahashi']",Shigeru Miyamoto,Artist(s) Not Available,Writer(s) Not Available
1997-03-20,Castlevania: Symphony of the Night,Konami Computer Entertainment Tokyo,Konami,Castlevania,"['PlayStation', 'Sega Saturn', 'Xbox 360', 'PlayStation Portable', 'PlayStation 4', 'Android', 'iOS']","['Action role-playing', 'platform-adventure', 'Metroidvania']",Single-player,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,"['Toru Hagihara', 'Koji Igarashi']",Michiru Yamane,['Toru Hagihara'],['Toru Hagihara'],['Ayami Kojima'],"['Koji Igarashi', 'Toshiharu Furukawa']"
1997-01-03,Diablo,Blizzard North,"['Blizzard Entertainment', 'Davidson & Associates', 'Electronic Arts']",Diablo,"['Microsoft Windows', 'PlayStation', 'Mac OS']","['Action role-playing', 'hack and slash']","['Single-player', 'multiplayer']","['David Brevik', 'Eric Sexton']",Engine Not Available,Arcade system Not Available,['David Brevik'],Matt Uelmen,Director(s) Not Available,Bill Roper,Michio Okamura,['Chris Metzen']
1997-10-10,Fallout: A Post Nuclear Role Playing Game,Interplay Productions,['Interplay Productions'],Fallout,"['MS-DOS', 'Microsoft Windows', 'Mac OS', 'OS X']",Role-playing,Single-player,Christopher Taylor,Engine Not Available,Arcade system Not Available,['Chris Jones'],Mark Morgan,Feargus Urquhart,Tim Cain,"['Leonard Boyarsky', 'Jason D. Anderson']","[""Mark O'Green""]"
1997-06-20,Final Fantasy Tactics,Square,['Sony Computer Entertainment'],Final Fantasy Tactics,PlayStation,Tactical role-playing game,Single-player,Hiroyuki Ito,Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,"['Hitoshi Sakimoto', 'Masaharu Iwata']",Yasumi Matsuno,Hironobu Sakaguchi,"['Hiroshi Minagawa', 'Akihiko Yoshida']",Yasumi Matsuno
1997-01-31,Final Fantasy VII,Square,"['Square Enix', 'Sony Computer Entertainment', 'Eidos Interactive']",Final Fantasy,"['PlayStation', 'Microsoft Windows', 'iOS', 'PlayStation 4', 'Android', 'Nintendo Switch', 'Xbox One']",Role-playing,Single-player,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,['Ken Narita'],Nobuo Uematsu,Yoshinori Kitase,Hironobu Sakaguchi,"['Yusuke Naora', 'Tetsuya Nomura']",['Kazushige Nojima']
1997-08-25,GoldenEye 007,Rare,Nintendo,James Bond,Nintendo 64,"['First-person shooter', 'stealth']","['Single-player', 'multiplayer']",Duncan Botwood,Engine Not Available,Arcade system Not Available,"['Mark Edmonds', 'Steve Ellis']","['Graeme Norgate', 'Grant Kirkhope', 'Robin Beanland']",Martin Hollis,['Martin Hollis'],"['Karl Hilton', 'Adrian Smith', 'B. Jones']",David Doak
1997-12-23,Gran Turismo,"['Polys Entertainment', 'Cyberhead']",Sony Computer Entertainment,Gran Turismo,PlayStation,Sim racing,"['Single player', 'multiplayer']","['Kazunori Yamauchi', 'Takeshi Yokouchi', 'Hirotaka Komiyama']",Engine Not Available,Arcade system Not Available,['Seiichi Ikiou'],Masahiro Andoh (JP) Isamu Ohira (JP) Jason Page (EU/US),Director(s) Not Available,Kazunori Yamauchi,['Masaaki Goto'],Writer(s) Not Available
1997-12-09,Quake II,"['Hyperion Entertainment', 'HammerHead']","['Activision', 'Bethesda Softworks', 'Nvidia']",Quake,"['Microsoft Windows', 'AmigaOS', 'Classic Mac OS', 'Nintendo 64', 'PlayStation', 'Linux', 'Xbox 360', 'Zeebo']",First-person shooter,"['Single-player', 'multiplayer']","['Kevin Cloud', 'American McGee', 'Tim Willits']",id Tech 2,Arcade system Not Available,Brian Hook George John Cash IV John Carmack,Sonic Mayhem,['Kevin Cloud'],Producer(s) Not Available,"['Adrian Carmack', 'Paul Steed']",Writer(s) Not Available
1997-04-27,Star Fox 64,Nintendo EAD,Nintendo,Star Fox,"['Nintendo 64', 'iQue Player']","['Rail shooter', ""shoot 'em up""]","['Single-player', 'multiplayer']",Shigeru Miyamoto,Engine Not Available,Arcade system Not Available,['Kazuaki Morita\xa0'],Koji Kondo Hajime Wakai,['Takao Shimizu'],Shigeru Miyamoto,Takaya Imamura,['Mitsuhiro Takano']
1997-10-10,Star Wars Jedi Knight: Dark Forces II,LucasArts,['LucasArts'],Star Wars: Jedi Knight,Microsoft Windows,"['First-person shooter', 'third-person shooter']","['Single-player', 'multiplayer']",['Peter Chan'],['Sith'],Arcade system Not Available,Programmer(s) Not Available,Peter McConnell,['Justin Chin'],Producer(s) Not Available,Artist(s) Not Available,['Peter Chan']
1998-03-26,Tekken 3,Namco,"['Namco Ltd.', 'Namco Hometek', 'SCEE']",Tekken,"['Arcade', 'PlayStation']",Fighting,"['Single-player', 'multiplayer']",Masahiro Kimoto Katsuhiro Harada,Engine Not Available,Namco System 12,['Masanori Yashinari Mizushima'],"['Nobuyoshi Sano', 'Keiichi Okabe', 'Yuu Miyake']",Masamichi Abe Yutaka Kounoe Katsuhiro Harada,['Hajime Nakatani'],Artist(s) Not Available,Writer(s) Not Available
1997-09-24,Ultima Online,['Origin Systems'],Electronic Arts,['Ultima'],"['Microsoft Windows', 'Linux']",MMORPG,Multiplayer,Raph Koster,Engine Not Available,Arcade system Not Available,"['Rick Delashmit', 'Scott Phillips']","['Kirk Winterrowd', 'Joe Basquez']",Starr Long,Richard Garriott,Artist(s) Not Available,Writer(s) Not Available
1998-09-26,Dance Dance Revolution,"['Konami', 'Bemani']",['Konami'],Dance Dance Revolution,"['Arcade', 'PlayStation']","['Music', 'exercise']","['Single-player', 'multiplayer']",Designer(s) Not Available,Engine Not Available,Bemani System 573 Analog,Programmer(s) Not Available,Composer(s) Not Available,Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
1998-10-29,Fallout 2: A Post Nuclear Role Playing Game,Black Isle Studios,Interplay Productions,Fallout,"['Microsoft Windows', 'Mac OS X']",Role-playing,Single player,"['Feargus Urquhart', 'Matt Norton']",Engine Not Available,Arcade system Not Available,['Jesse Reynolds'],Mark Morgan,Director(s) Not Available,Eric DeMilt Feargus Urquhart,['Gary Platner'],"[""Mark O'Green""]"
